"Show Title","Creator/Showrunner","Character","Role","Gender","Orientation","Species","Race","Disability","Relationship Status","Explicit/Implicit Representation","Confirmation Action 1","Confirmation Action 2","Confirmation Action 3","Finale Confirmation","Deceased","Year Released","Year Confirmed","Series Confirmation Gap","Genre 1","Genre 2","Genre 3","Rating","Common Sense Media Parent Rating Minimum","Common Sense Media Kid Rating Minimum","Rating Gap","Platform","Studio(s)","Broadcast/Cable/Streaming","Paywall"
"3Below: Tales of Arcadia","Guillermo del Toro","Shannon Longhannon","Recurring Character","Cis, Woman","Lesbian","Human","White","Blurred Vision","Single","Explicit","Kiss","","","No","No","2018","2019","1","Action","Adventure","Science Fiction","TV-Y7-FV","N/A","4","#VALUE!","Netflix","DreamWorks Animation Television","Streaming","Yes"
"3Below: Tales of Arcadia","Guillermo del Toro","Classmate","Recurring Character","Cis, Woman","Queer","Human","White","N/A","Single","Explicit","Kiss","","","No","No","2018","2019","1","Action","Adventure","Science Fiction","TV-Y7-FV","N/A","N/A","#REF!","Netflix","DreamWorks Animation Television","Streaming","Yes"
"6Teen","Jennifer Pertsch, Tom McGillis","Kevin","Guest Character","Cis, Man","Gay","Human","White","N/A","Single","Explicit","Figure of Speech","Romantic Rejection/Avoidance","LGBTQ Cultural References","No","No","2005","2008","3","Comedy","Drama","Romance","TV-PG","7","13","-6","Nickelodeon, Cartoon Network","Nelvana","Cable","Yes"
"6Teen","Jennifer Pertsch, Tom McGillis","Jean","Guest Character","Cis, Woman","Lesbian","Human","White","N/A","Dating","Explicit","Identity in Dialogue","Romantic Partnership","","No","No","2005","2010","5","Comedy","Drama","Romance","TV-PG","7","13","-6","Nickelodeon, Cartoon Network","Nelvana, Fresh TV","Cable","Yes"
"6Teen","Jennifer Pertsch, Tom McGillis","Connie","Recurring Character","Cis, Woman","Lesbian","Human","White","N/A","Dating","Explicit","Romantic Partnership","","","No","No","2005","2010","5","Comedy","Drama","Romance","TV-PG","7","13","-6","Nickelodeon, Cartoon Network","Nelvana, Fresh TV","Cable","Yes"
"Adventure Time","Pendleton Ward","BMO","Recurring Character","Genderless","Unknown","Non-Human","N/A","Unknown","Single","Explicit","Pronouns","Companion Material","","No","No","2010","2011","1","Adventure","Science Fantasy","Surreal Comedy","TV-PG","10","9","1","Cartoon Network","Cartoon Network Studios, Frederator Studios","Cable","Yes"
"Adventure Time","Pendleton Ward","Princess Bubblegum","Recurring Character","Woman","Unknown","Non-Human","N/A","Unknown","Dating","Explicit","Kiss","","","Yes","No","2010","2018","8","Adventure","Science Fantasy","Surreal Comedy","TV-PG","10","9","1","Cartoon Network","Cartoon Network Studios, Frederator Studios","Cable","Yes"
"Adventure Time","Pendleton Ward","Marceline the Vampire Queen","Recurring Character","Woman","Unknown","Non-Human","N/A","Unknown","Dating","Explicit","Kiss","","","Yes","No","2010","2018","8","Adventure","Science Fantasy","Surreal Comedy","TV-PG","10","9","1","Cartoon Network","Cartoon Network Studios, Frederator Studios","Cable","Yes"
"Arthur","Marc Brown, Carol Greenwald","Patrick Ratburn","Guest Character","Man","Gay","Non-Human","N/A","N/A","Married","Explicit","Proposal/Marriage","Creative Team Interview","Confession","No","No","1996","2019","23","Adventure","Comedy","Drama","TV-Y","5","5","0","PBS Kids","Nelvana, Fresh TV","Broadcast","No"
"Arthur","Marc Brown, Carol Greenwald","Nigel Ratburn","Recurring Character","Man","Gay","Non-Human","N/A","N/A","Married","Explicit","Proposal/Marriage","Creative Team Interview","Confession","No","No","1996","2019","23","Adventure","Comedy","Drama","TV-Y","5","5","0","PBS Kids","Oasis Animation, WGBH Studios","Broadcast","No"
"As Told by Ginger","Emily Kapnek","Nicholas/Nikki LaPorte","Guest Character","Unknown","Unknown","Human","White","Unknown","Single","Explicit","LGBTQ Cultural Activities","Gender Presentation","","Yes","No","2000","2004","4","Comedy","Drama","Family","TV-Y7","6","6","0","Nickelodeon, Paramount+","Klasky Csupo, Nickelodeon Animation Studio","Cable, Streaming","Yes"
"Big City Greens","Shane Houghton, Chris Houghton","Alexander","Recurring Character","Cis, Man","Gay","Human","Undetermined","Unknown","Dating","Implicit","Social Media","Character Proximity","","No","No","2018","2018","0","Comedy","Adventure","Family","TV-Y7","7","6","1","Disney Channel","Disney Television Animation","Cable","Yes"
"Big City Greens","Shane Houghton, Chris Houghton","Terry","Recurring Character","Cis, Man","Gay","Human","Undetermined","Blurred Vision","Dating","Implicit","Social Media","Character Proximity","","No","No","2018","2018","0","Comedy","Adventure","Family","TV-Y7","7","6","1","Disney Channel","Disney Television Animation","Cable","Yes"
"Braceface","Melissa Clark","Houston","Guest Character","Cis, Man","Gay","Human","POC","Blurred Vision","Single","Explicit","LGBTQ Symbols/Symbolism","Figure of Speech","","No","No","2001","2004","3","Comedy","Family","Romance","TV-G","8","8","0","Fox Family Channel","Jade Animation, Nelvana","Cable","Yes"
"Braceface","Melissa Clark","Mark Dion Jones","Recurring Character","Cis, Man","Gay","Human","White","Blurred Vision","Single","Explicit","LGBTQ Cultural References","Figure of Speech","","No","No","2001","2004","3","Comedy","Family","Romance","TV-G","8","8","0","Fox Family Channel","Jade Animation, Nelvana","Cable","Yes"
"Bubble Guppies","Jonny Belt, Robert Scull","RuPearl","Guest Character","Unknown","Unknown","Non-Human","N/A","Unknown","Single","Explicit","Marketing","LGBTQ Cultural Activities","","No","No","2011","2015","4","Comedy","Fantasy","Musical","TV-Y","3","5","-2","Nick Jr.","Nelvana, Nickelodeon Animation Studio","Cable","Yes"
"Chip and Potato","Billy Macqueen, Catherine Williams, and Maddy Darrall","Ray Razzle","Guest Character","Man","Unknown","Non-Human","N/A","Unknown","Married","Explicit","Parenting","","","No","No","2018","2019","1","Slice of Life","","","TV-Y","3","3","0","Netflix","Darrall Macqueen, WildBrain Studios","Streaming","Yes"
"Chip and Potato","Billy Macqueen, Catherine Williams, and Maddy Darrall","Roy Razzle","Guest Character","Man","Unknown","Non-Human","N/A","Unknown","Married","Explicit","Parenting","","","No","No","2018","2019","1","Slice of Life","","","TV-Y","3","3","0","Netflix","Darrall Macqueen, WildBrain Studios","Streaming","Yes"
"Clarence","Skyler Page","Unnamed Boyfriend","Guest Character","Cis, Man","Unknown","Human","White","Unknown","Dating","Explicit","Romantic Partnership","Kiss","","No","No","2013","2014","1","Adventure","Comedy","Slice of Life","TV-PG","9","8","1","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"Clarence","Skyler Page","Kevin","Guest Character","Cis, Man","Unknown","Human","White","Unknown","Dating","Explicit","Romantic Partnership","Kiss","","No","No","2013","2014","1","Adventure","Comedy","Slice of Life","TV-PG","9","8","1","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"Clarence","Skyler Page","EJ Randell","Recurring Character","Cis, Woman","Unknown","Human","White","Unknown","Married","Explicit","Parenting","","","No","No","2013","2014","1","Adventure","Comedy","Slice of Life","TV-PG","9","8","1","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"Clarence","Skyler Page","Sue Randell","Recurring Character","Cis, Woman","Unknown","Human","White","Unknown","Married","Explicit","Parenting","","","No","No","2013","2014","1","Adventure","Comedy","Slice of Life","TV-PG","9","8","1","Cartoon Network","Cartoon Network Studios","Cable","Yes"
"Cleopatra In Space","Doug Langdale, Fitzy Fitzmaurice","Pothina","Guest Character","Woman","Lesbian","Non-Human","N/A","Unknown","Married","Explicit","Parenting","Affection","","No","No","2020","2020","0","Comedy-Action","Science Fiction","Space Adventure","TV-Y7-FV","10","10","0","Peacock","DreamWorks Animation Television, Titmouse","Streaming","Yes"
